"id","name","type","description","ideal_profile","not_suited_for","sequencing_note","stages","needs","sectors","diaspora_only","international_focus","url"
"R001","Dot Expert — Legal","expertise","Free access to vetted legal experts covering incorporation (SUARL/SARL/SA), Startup Act labeling, contracts, IP, and regulatory compliance.","Founders who are not yet incorporated or navigating Startup Act eligibility, IP protection, or first client contracts.","Founders already fully incorporated with legal counsel in place and no open legal questions.","Use before approaching any investor or signing any commercial contract. Legal structure is a prerequisite — do this first if the legal score is weak.","pre-seed,seed,growth","legal_structuring,incorporation,fiscal,startup_act,ip,contracts","all","FALSE","FALSE","https://thedot.tn/dot-expert"
"R002","Dot Expert — Finance","expertise","Free sessions with finance and accounting experts covering financial modeling, fundraising strategy, grant applications, SICAR eligibility, unit economics, and investor-ready financial statements.","Founders preparing for a fundraising round who need to clean up their financials, understand valuation basics, or navigate Tunisian grant and SICAR mechanisms.","Very early ideation-stage founders who have no product and no numbers to model.","Use after legal incorporation is sorted. A clean cap table and financial model are prerequisites for any serious investor conversation.","pre-seed,seed,growth","fundraising,financial_modeling,investment_readiness,grant_access,fiscal","all","FALSE","FALSE","https://thedot.tn/dot-expert"
"R003","Dot Expert — GTM","expertise","Free advisory sessions with go-to-market and commercial strategy experts covering sales strategy, pricing, distribution channels, partnership development, and early customer acquisition.","Founders who have a product and are trying to land their first customers or scale an existing customer base. Particularly useful for B2B founders.","Pre-product founders — GTM advice is premature without something to sell.","Use after achieving at least MVP stage. Most impactful when there is a working product and at least one hypothesis about who the customer is.","seed,growth,scale","market_access,distribution,partnerships,gtm,sales,go_to_market","all","FALSE","FALSE","https://thedot.tn/dot-expert"
"R004","Dot Executives in Residence","mentorship","A curated pool of 25+ senior executives across tech, fintech, commerce, industry, and manufacturing. Founders are matched for recurring advisory sessions over several months.","Founders with a working product and a clear strategic challenge: scaling a team, entering a new market, preparing for a board, or navigating a pivot.","Very early ideation founders without product-market clarity — the exec's time is wasted without something concrete to advise on.","Use after the product exists and after foundational legal and financial hygiene is in place. Most impactful at seed or early growth.","seed,growth,scale","mentorship,strategy,leadership,team_building,scaling","all","FALSE","FALSE","https://thedot.tn/dot-executifs-en-residence"
"R005","Dot Camp","program","The Dot flagship seed hosting program. Selected startups receive workspace at The Dot Tunis hub, structured programming, workshops, and access to The Dot investor and partner network.","Tunis-based or Tunis-relocatable seed-stage founders with a working product and at least early traction signals.","Regional founders who cannot relocate to Tunis — Dot Camp+ exists for them. Also not suited for ideation-only founders.","Apply after incorporation and after achieving at least MVP. Having initial customers significantly strengthens the application. Mutually exclusive with Dot Camp+.","pre-seed,seed","workspace,acceleration,mentorship,investor_readiness,networking,hosting,cohort","all","FALSE","FALSE","https://thedot.tn/dot-camp"
"R006","Dot Camp+","program","A regional variant of Dot Camp for startups based outside of Tunis. Provides hybrid programming to reduce the geographic barrier between regional ecosystems and the capital.","Founders based outside Tunis at pre-seed or seed stage with a working product or strong concept who cannot relocate to Tunis.","Tunis-based founders — Dot Camp is the right fit for them.","Mutually exclusive with Dot Camp. If based outside Tunis apply here. Timing is similar — after incorporation and with at least an MVP.","pre-seed,seed","regional_support,acceleration,workspace,mentorship,investor_readiness,networking","all","FALSE","FALSE","https://thedot.tn/dot-camp-plus"
"R007","Dot Landing","program","A 4-month intensive support program exclusively for Tunisian diaspora entrepreneurs wanting to establish or expand their business in Tunisia. Covers legal setup, market entry, and local network building.","Tunisian diaspora founders living or recently lived abroad who want to launch or expand in Tunisia.","Non-diaspora founders. This program is exclusively for diaspora founders.","Can run in parallel with Dot Expert Legal which is particularly useful for diaspora founders navigating incorporation for the first time in Tunisia.","ideation,pre-seed,seed","legal_structuring,market_access,networking,soft_landing,diaspora_support,coaching","all","TRUE","FALSE","https://thedot.tn/dot-landing"
"R008","Dot Services — Workspace","service","Hot desk and dedicated workspace access at The Dot Tunis hub. Includes reliable internet, meeting rooms, printing, and community access on flexible membership terms.","Founders who need a professional work environment without committing to a full accelerator program.","Founders whose primary bottleneck is not workspace but something more fundamental — no product, no legal structure, no team.","Can be activated at any stage. Does not require program enrollment.","ideation,pre-seed,seed,growth","workspace,community,hosting","all","FALSE","FALSE","https://thedot.tn/dot-services"
"R009","Dot Services — Events Space","service","Access to The Dot event venues for hosting workshops, investor pitches, product demos, community events, or corporate meetings.","Founders or organizations that need a professional venue for external events — pitches, demo days, workshops, partner meetings.","Founders who are not yet at the stage of hosting external events.","Relevant at seed stage and beyond. Most impactful when actively engaging investors, clients, or community.","seed,growth,scale","events,workspace,community,networking","all","FALSE","FALSE","https://thedot.tn/dot-services"
"R010","Dot Services — Studio","service","Free access to a podcast studio, professional AV equipment, and an Adobe Suite and Figma design workstation for content creation, brand building, and pitch material production.","Founders who need high-quality brand assets, pitch decks, demo videos, or podcast content without the budget for a production agency.","Founders whose primary bottleneck is not content production. Spending time in the studio while the product is unvalidated is a distraction.","Use when preparing for a specific milestone — fundraising round, product launch, or partnership pitch — where professional materials will make a difference.","pre-seed,seed,growth","content_production,design,branding,media,content_creation","all","FALSE","FALSE","https://thedot.tn/dot-services"
"R011","Meetup VC","network","Regular investor networking events at The Dot bringing together VCs, business angels, institutional investors, and selected startups. Pitch sessions, curated introductions, and panel discussions.","Founders actively fundraising or within 3 months of opening a round, at minimum seed-stage with a product and early traction.","Ideation-stage or pre-product founders not ready for investor conversations. Showing up without traction damages first impressions permanently.","Attend after legal incorporation, financial model, and MVP are in place. Ideally after landing first customers. Do not attend as a first step.","seed,growth,scale","investor_readiness,vc_access,fundraising,investment_readiness,pitch,networking","all","FALSE","FALSE","https://thedot.tn/meetup-vc"
"R012","DTC — AI Hub","program","Dedicated AI startup incubation within the Digital Transformation Center. Provides technical resources, AI-specific mentorship, and connections to public and private sector organizations seeking AI solutions.","AI or ML startups at any stage from pre-seed onward building solutions for the Tunisian public or private sector.","Non-AI startups — this program is sector-specific.","Can run alongside Dot Camp or Dot Expert. Most impactful after the technical core of the product is defined.","pre-seed,seed,growth","ai,tech_support,acceleration,market_access,partnerships","tech,saas,healthtech,edtech,fintech","FALSE","FALSE","https://thedot.tn/digital-transformation-center"
"R013","DTC — I4.0 Hub","program","Industry 4.0 incubation focused on IoT, smart manufacturing, robotics, and industrial digitization. Provides technical infrastructure, sector-specific mentorship, and industrial partners.","Startups working on Industry 4.0 solutions — IoT devices, factory automation, predictive maintenance, supply chain technology, industrial sensors.","Consumer-facing or pure-software startups with no industrial application.","Best entered at pre-seed or seed stage while the product is still being defined.","pre-seed,seed,growth","tech_support,acceleration,partnerships,market_access","industry,manufacturing,tech","FALSE","FALSE","https://thedot.tn/digital-transformation-center"
"R014","DTC — GSMA Lab","program","Part of the GSMA Mobile for Development network. Supports startups building mobile and connectivity solutions for financial inclusion, agriculture, health, and education.","Mobile-first startups whose solution is tied to mobile connectivity, SMS/USSD infrastructure, or mobile money — targeting underserved populations.","Startups that have a mobile app but whose core value is not mobile connectivity infrastructure.","Relevant from pre-seed onward for mobile-infrastructure founders.","pre-seed,seed,growth","mobile,tech_support,partnerships,market_access","tech,fintech,agritech,healthtech,edtech","FALSE","FALSE","https://thedot.tn/digital-transformation-center"
